50
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 
0 6 40 32 78 39 40 47 95 22 73 47 46 24 68 63 17 45 95 18 91 71 87 56 75 99 33 32 21 15 96 84 58 79 39 72 70 55 96 23 68 45 44 25 40 56 7 43 11 73 
6 0 24 5 35 18 25 37 62 33 22 32 83 72 57 72 64 53 25 41 8 94 30 23 2 43 2 43 24 64 83 42 40 41 71 58 54 17 12 8 19 34 6 18 66 18 20 74 81 61 
40 24 0 23 6 87 4 9 29 12 35 49 9 7 44 58 27 5 88 76 29 61 53 34 45 22 77 69 38 19 67 16 90 51 39 60 1 95 80 79 36 2 13 97 41 58 74 97 27 69 
32 5 23 0 26 34 25 2 83 78 23 5 66 31 37 12 45 72 46 34 5 25 41 79 74 85 26 31 57 24 66 96 15 63 92 41 74 38 41 89 17 95 84 99 27 28 50 40 79 1 
78 35 6 26 0 2 42 89 56 12 29 91 67 60 17 58 70 87 62 77 36 68 97 33 33 23 39 85 79 66 65 95 3 61 22 95 56 9 64 65 87 7 9 5 56 98 3 36 81 23 
39 18 87 34 2 0 72 81 95 27 50 45 29 42 7 85 30 23 2 70 37 63 32 46 77 66 81 66 13 48 97 23 17 88 97 54 83 98 56 9 20 66 77 45 74 99 92 65 89 22 
40 25 4 25 42 72 0 94 99 52 18 6 28 82 47 53 51 73 2 82 29 45 30 42 22 71 24 8 91 1 9 39 36 96 31 30 5 3 12 25 40 29 98 10 7 58 40 96 62 47 
47 37 9 2 89 81 94 0 45 89 6 28 8 22 67 79 32 52 97 45 78 78 5 5 25 65 67 52 55 75 47 90 44 55 83 85 94 10 85 65 62 7 50 74 27 60 4 90 30 49 
95 62 29 83 56 95 99 45 0 48 15 53 3 91 24 49 31 3 67 26 56 61 68 78 82 55 9 81 3 40 91 81 3 90 20 71 54 34 79 30 17 48 46 25 19 64 68 45 52 75 
22 33 12 78 12 27 52 89 48 0 59 54 63 11 94 69 75 11 54 77 48 26 1 52 42 61 88 62 37 51 32 79 43 31 54 79 53 48 66 58 29 66 50 46 71 51 83 73 84 13 
73 22 35 23 29 50 18 6 15 59 0 45 28 20 93 34 6 77 45 51 56 96 34 28 1 71 43 26 32 48 97 19 8 42 20 32 40 86 66 71 89 39 56 22 18 77 1 80 90 85 
47 32 49 5 91 45 6 28 53 54 45 0 70 1 66 63 61 84 86 85 72 45 26 77 21 90 88 91 59 20 58 34 62 68 41 31 12 52 94 18 5 45 74 10 44 12 43 26 7 37 
