13
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 
0 87 96 84 59 14 58 71 7 39 85 19 4 
87 0 20 50 35 43 19 34 32 33 13 98 9 
96 20 0 45 20 69 58 61 29 28 32 55 36 
84 50 45 0 82 40 48 56 6 23 52 19 98 
59 35 20 82 0 40 35 78 60 1 91 15 19 
14 43 69 40 40 0 53 86 70 76 23 51 22 
58 19 58 48 35 53 0 95 90 31 17 56 97 
71 34 61 56 78 86 95 0 77 17 14 10 1 
7 32 29 6 60 70 90 77 0 33 88 66 57 
39 33 28 23 1 76 31 17 33 0 39 66 100 
85 13 32 52 91 23 17 14 88 39 0 88 29 
19 98 55 19 15 51 56 10 66 66 88 0 97 
4 9 36 98 19 22 97 1 57 100 29 97 0 
